Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
Mai	@Mai	Mai	0		H	sg g
   	Mai	Mai	0		H	sg n
   	mai	mai	0		S	sg g
   	mai	mai	0		S	sg n
Kalmann	####	####				
       	#Kalmann	Kalmann	0		H	sg n
,	,	,			Z	
mansaisja	####	####				
         	£kõrvalseisja	man_seisja	0		S	sg n
olli	####	####				
    	#oli	ole	i		V	s
Peter	Peeter	Peter	0		H	sg n
Lange	lange	lange	0		S	sg g
     	lange	lange	0		S	sg n
     	lange	lange	0		V	o
     	lang	lang	e		S	pl p
     	langud	langud	e		S	pl p
     	£Lange	Lange	0		H	sg n
ja	ja	ja	0		J	
kaibas	####	####				
      	#kaebas	kaeba	s		V	s
et	et	et	0		J	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Härm	härm	härm	0		S	sg n
    	£Härm	Härm	0		H	sg n
ollewat	####	####				
       	#olevat	ole	vat		V	vat
temmale	####	####				
       	#temale	tema	le		P	sg all
100	100	100	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
wõlgu	@võlgu	võlgu	0		D	
     	võlg	võlg	u		S	pl p
ja	ja	ja	0		J	
pallep	####	####				
      	#palub	palu	p		V	b
kohhut	####	####				
      	#kohut	kohus	t		S	sg p
sedda	####	####				
     	#seda	see	da		P	sg p
temmale	####	####				
       	#temale	tema	le		P	sg all
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
moista	####	####				
     	#mõista	mõist	a		V	da
.	.	.			Z	
Se	####	####				
  	#see	see	0		P	sg n
wõlg	võlg	võlg	0		S	sg n
ollewat	####	####				
       	#olevat	ole	vat		V	vat
sanu	####	####				
    	#saanud	saa	nu		V	nud
arwata	@arvata	arvata	0		D	
      	arva	arva	ta		V	da
      	arva	arva	ta		V	ta
13	13	13	0		N	?
aastat	aastat	aasta	t		S	sg p
taggasi	####	####				
       	#tagasi	tagasi	0		D	
       	tagasi	tagasi	0		K	
lainanu	####	####				
       	#laenanud	laena	nu		V	nud
5	5	5	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
,	,	,			Z	
tüttär	####	####				
      	#tütar	tütar	0		S	sg n
1	1	1	0		N	?
aasta	aasta	aasta	0		S	sg g
     	@aasta	aasta	0		S	sg n
teninü	####	####				
      	#teeninud	teeni	nü		V	nud
se	####	####				
  	#see	see	0		P	sg n
om	####	####				
  	#on	ole	0		V	b
5	5	5	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
,	,	,			Z	
protsentis	####	####				
          	#protsendiks	protsent	s		S	sg tr
massa	####	####				
     	maksa	maks	0		V	o
     	#maksta	maks	a		V	da
15	15	15	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
Andre	Andre	Andre	0		H	sg g
     	@Andre	Andre	0		H	sg n
Fluss	####	####				
     	#Fluss	Fluss	0		H	sg n
masnud	####	####				
      	#maksnud	maks	nud		V	nud
Mai	@Mai	Mai	0		H	sg g
   	Mai	Mai	0		H	sg n
   	mai	mai	0		S	sg g
   	mai	mai	0		S	sg n
Kalmanni	kalm_and	kalm_and	0		S	sg g
        	£Kalmanni	Kalmann	0		H	sg g
rahhast	####	####				
       	#rahast	raha	st		S	sg el
17	17	17	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
protsentis	####	####				
          	#protsendiks	protsent	s		S	sg tr
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Härma	härm	härm	0		S	adt
     	härm	härm	0		S	sg g
     	härm	härm	0		S	sg p
     	härma	härma	0		D	
     	härma	härma	0		V	o
     	£Härma	Härm	0		H	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
.	.	.			Z	
26	26	26	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
hobbese	####	####				
       	#hobuse	hobune	0		S	sg g
osta	ost	ost	0		V	o
    	@osta	ost	a		V	da
.	.	.			Z	
10	10	10	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
jälle	jälle	jälle	0		D	
protsentis	####	####				
          	#protsendiks	protsent	s		S	sg tr
massa	####	####				
     	maksa	maks	0		V	o
     	#maksta	maks	a		V	da
,	,	,			Z	
nink	####	####				
    	#ning	ning	0		J	
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
10	10	10	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
protsendis	protsent	protsent	s		S	sg in
          	£protsendiks	protsent	s		S	sg tr
haina	hai	hai	na		S	sg es
     	£heina	hein	0		S	sg g
kuhja	kuhi	kuhi	0		S	adt
     	@kuhja	kuhi	0		S	sg g
     	kuhi	kuhi	0		S	sg p
     	kuhja	kuhja	0		V	o
andnu	and=nu	and=nu	0		S	sg g
     	and=nu	and=nu	0		S	sg n
     	£andnud	and	nu		V	nud
6e	6e	6e	0		Y	?
  	£6	6	0		N	sg g
Rbla	####	####				
    	#rbl	rbl	0		Y	?
eest	@eest	eest	0		D	
    	eest	eest	0		K	
    	esi	esi	st		S	sg el
nink	####	####				
    	#ning	ning	0		J	
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
mes	####	####				
   	mis	mis	0		P	pl n
   	#mis	mis	0		P	sg n
mitte	mitte	mitte	0		D	
melen	####	####				
     	#meeles	meel	n		S	sg in
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
ollewat	####	####				
       	#olevat	ole	vat		V	vat
.	.	.			Z	
Michel	####	####				
      	#Mihkel	Michel	0		H	sg n
Härm	härm	härm	0		S	sg n
    	£Härm	Härm	0		H	sg n
ütles	ütles	ütle	s		V	s
Mai	Mai	Mai	0		H	sg g
   	@Mai	Mai	0		H	sg n
   	mai	mai	0		S	sg g
   	mai	mai	0		S	sg n
Kalmann	####	####				
       	#Kalmann	Kalmann	0		H	sg n
om	####	####				
  	#on	ole	0		V	b
minnole	####	####				
       	#minule	mina	le		P	sg all
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
2	2	2	0		N	?
Rbla	####	####				
    	#rbl	rbl	0		Y	?
wõlgu	@võlgu	võlgu	0		D	
     	võlg	võlg	u		S	pl p
ent	ent	ent	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
temmale	####	####				
