Seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
15nemal	####	####				
       	#15ndal	15=s	l		O	sg ad
Juni	####	####				
    	#juuni	juuni	0		S	sg g
kuu	@kuu	kuu	0		S	sg g
   	kuu	kuu	0		S	sg n
päewal	päev	päev	l		S	sg ad
      	@päeval	päev	l		S	sg ad
1848	1848	1848	0		N	?
ollid	####	####				
     	#olid	ole	id		V	sid
kohhut	####	####				
      	#kohut	kohus	t		S	sg p
piddamas	####	####				
        	#pidamas	pida	mas		V	mas
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Keerdt	####	####				
      	#Keerd	Keerdt	0		H	sg n
Kohtuwannem	####	####				
           	#kohtuvanem	kohtu_vanem	0		S	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Noor	noor	noor	0		A	sg n
    	noor	noor	0		S	sg n
    	£Noor	Noor	0		H	sg n
Kohtumees	kohtumees	kohtu_mees	0		S	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Kuil	kuu	kuu	il		S	pl ad
    	£Kuil	Kuil	0		H	sg n
Kohtumees	kohtumees	kohtu_mees	0		S	sg n
Pillistwerre	####	####				
            	#Pilistvere	Pillistwerre	0		H	sg g
kohhelkonna	####	####				
           	#kihelkonna	kihelkond	0		S	sg g
õppetaja	####	####				
        	#õpetaja	õpetaja	0		S	sg g
Miekwitz	####	####				
        	#Miikvits	Miekwitz	0		H	sg n
küssimisse	####	####				
          	#küsimise	küsimine	0		S	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
,	,	,			Z	
kas	kas	kas	0		D	
se	####	####				
  	#see	see	0		P	sg n
nenda	####	####				
     	#nõnda	nõnda	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
et	et	et	0		J	
:	:	:			Z	
1.	1.	1.	0		O	?
,	,	,			Z	
""""	""""	""""			Z	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Käggo	####	####				
     	#Kägu	Käggo	0		H	sg n
ärrasurnut	####	####				
          	#ärasurnud	ära_sure	nut		V	nud
Ansu	####	####				
    	#Ansu	Ansu	0		H	sg n
Käggo	####	####				
      	#Kägu	Käggo	0		H	sg g
eksint	####	####				
      	#eksinud	eksi	nt		V	nud
poeg	poeg	poeg	0		S	sg n
koggoni	####	####				
       	#koguni	koguni	0		D	
ilma	ilm	ilm	0		S	adt
    	ilm	ilm	0		S	sg g
    	ilm	ilm	0		S	sg p
    	ilma	ilma	0		D	
    	@ilma	ilma	0		K	
wannematteta	####	####				
            	#vanemateta	vanem	tteta		S	pl ab
ja	ja	ja	0		J	
2.	2.	2.	0		O	?
,	,	,			Z	
Lowisa	####	####				
      	#Luisa	Lowisa	0		H	sg n
Trik	####	####				
    	#Trikk	Trick	0		H	sg n
,	,	,			Z	
ärrasurnut	####	####				
          	#ärasurnud	ära_sure	nut		V	nud
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Trik	####	####				
    	#Trikk	Trick	0		H	sg n
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Naese	####	####				
     	#naise	naine	0		S	sg g
Marri	####	####				
     	#Mari	Marri	0		H	sg n
tüttar	####	####				
      	#tütar	tütar	0		S	sg n
,	,	,			Z	
se	####	####				
  	#see	see	0		P	sg n
wimane	####	####				
      	#viimane	viimane	0		A	sg n
ellab	####	####				
     	#elab	ela	b		V	b
tartumaal	####	####				
         	#Tartumaal	Tartumaa	l		H	sg ad
.	.	.			Z	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Käggole	####	####				
       	#Kägule	Käggo	le		H	sg all
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
wenne	####	####				
     	#vene	vene	0		G	
riko	####	####				
    	#kiriku	kirik	0		S	sg g
wöölmölder	####	####				
          	#vöörmünder	vöörmünder	0		S	sg n
Karl	Karl	Karl	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
ja	ja	ja	0		J	
Lowisa	####	####				
      	#Luisa	Lowisa	0		H	sg n
Trickile	####	####				
        	#Trikile	Trick	le		H	sg all
Peppe	####	####				
     	#Peppe	Peppe	0		H	sg n
Hans	Hans	Hans	0		H	sg n
Smitt	####	####				
     	#Smitt	Smitt	0		H	sg n
wannematte	vanne_matt	vanne_matt	e		A	pl p
          	vanne_matt	vanne_matt	e		S	pl p
          	£vanemate	vanem	tte		S	pl g
assemalle	####	####				
         	#asemele	asemele	0		K	
astnut	####	####				
      	#astunud	astu	nut		V	nud
.	.	.			Z	
Sest	see	see	st		P	sg el
    	@sest	sest	0		J	
et	et	et	0		J	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Käggo	####	####				
     	#Kägu	Käggo	0		H	sg n
koggo	####	####				
     	¤					
konna	konn	konn	0		S	adt
     	konn	konn	0		S	sg g
     	konn	konn	0		S	sg p
     	¤					
Wöölmöldrete	####	####				
            	#vöörmündrite	vöörmünder	te		S	pl g
holekandmisse	####	####				
             	#hoolekandmise	hoole_kandmine	0		S	sg g
läbbi	####	####				
     	läbi	läbi	0		D	
     	#läbi	läbi	0		K	
     	läbi	läbi	0		V	o
,	,	,			Z	
minnewal	####	####				
        	#mineval	mine	val		V	v sg ad
talwel	tali	tali	l		S	sg ad
      	@talvel	talv	l		S	sg ad
koggo	####	####				
     	¤					
konna	konn	konn	0		S	adt
     	konn	konn	0		S	sg g
     	konn	konn	0		S	sg p
     	¤					
kalla	kalla	kalla	0		S	sg g
     	kalla	kalla	0		S	sg n
     	kalla	kalla	0		V	o
     	£kalda	kallas	0		S	sg g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
lutterusse	####	####				
          	#luteri	luteri	0		G	
ussu	####	####				
    	#usu	usk	0		S	sg g
koggo	####	####				
     	¤					
konna	konn	konn	0		S	adt
     	konn	konn	0		S	sg g
     	konn	konn	0		S	sg p
     	¤					
kolis	koli	koli	s		S	sg in
     	koli	koli	s		V	s
     	£koolis	kool	s		S	sg in
kolitud	koli=tud	koli=tud	0		A	
       	koli=tud	koli=tud	0		A	sg n
       	koli=tu	koli=tu	d		S	pl n
       	koli=tud	koli=tud	d		A	pl n
       	kolitud	koli	tud		V	tud
       	£koolitatud	koolita	tud		V	tud
,	,	,			Z	
ja	ja	ja	0		J	
se	####	####				
  	#see	see	0		P	sg n
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	#pärast	pärast	0		D	
       	pärast	pärast	0		K	
muud	@muud	muu	d		P	pl n
    	muu	muu	d		P	sg p
    	muu	muu	d		S	pl n
    	muu	muu	d		S	sg p
    	muu	muu	d		V	d
kenneki	####	####				
       	#keegi	kennegi	0		P	sg n
kui	kui	kui	0		D	
   	@kui	kui	0		J	
koggo	####	####				
     	¤					
konna	konn	konn	0		S	adt
     	konn	konn	0		S	sg g
     	konn	konn	0		S	sg p
     	¤					
Wöölmöldret	####	####				
           	#vöörmündrid	vöörmünder	t		S	pl n
temmal	####	####				
      	#temal	tema	l		P	sg ad
wannematte	vanne_matt	vanne_matt	e		A	pl p
          	vanne_matt	vanne_matt	e		S	pl p
          	£vanemate	vanem	tte		S	pl g
assemalle	####	####				
         	#asemele	asemele	0		K	
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
astnut	####	####				
      	#astunud	astu	nut		V	nud
""""	""""	""""			Z	
wastutub	####	####				
        	#vastutab	vastuta	b		V	b
se	####	####				
  	#see	see	0		P	sg n
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
:	:	:			Z	
1.	1.	1.	0		O	?
,	,	,			Z	
Et	et	et	0		J	
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
Käggo	####	####				
     	#Kägu	Käggo	0		H	sg n
ilma	ilm	ilm	0		S	adt
    	ilm	ilm	0		S	sg g
    	ilm	ilm	0		S	sg p
    	ilma	ilma	0		D	
    	@ilma	ilma	0		K	
wannematteta	####	####				
            	#vanemateta	vanem	tteta		S	pl ab
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ja	ja	ja	0		J	
sepärrast	####	####				
         	#seepärast	see_pärast	0		D	
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kalla	kalla	kalla	0		S	sg g
     	kalla	kalla	0		S	sg n
     	kalla	kalla	0		V	o
     	£kalda	kallas	0		S	sg g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ja	ja	ja	0		J	
Wöölmöldrete	####	####				
            	#vöörmündrite	vöörmünder	te		S	pl g
holekandmisse	####	####				
             	#hoolekandmise	hoole_kandmine	0		S	sg g
läbbi	####	####				
     	läbi	läbi	0		D	
     	#läbi	läbi	0		K	
     	läbi	läbi	0		V	o
minnewal	####	####				
        	#mineval	mine	val		V	v sg ad
talwel	tali	tali	l		S	sg ad
      	@talvel	talv	l		S	sg ad
koggukonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
lutterusse	####	####				
          	#luteri	luteri	0		G	
ussu	####	####				
    	#usu	usk	0		S	sg g
kolis	koli	koli	s		S	sg in
     	koli	koli	s		V	s
     	£koolis	kool	s		S	sg in
õppetusse	õppe=tu	õppe=tu	sse		A	sg ill
         	õppe=tus	õppe=tus	se		S	adt
         	£õpetuse	õpetus	0		S	sg g
al	####	####				
  	#all	all	0		K	
  	all	all	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
2.	2.	2.	0		O	?
,	,	,			Z	
Et	et	et	0		J	
Lowisa	####	####				
      	#Luisa	Lowisa	0		H	sg n
Trik	####	####				
    	#Trikk	Trick	0		H	sg n
Peppe	####	####				
     	#Peppe	Peppe	0		H	sg n
Hansu	Hans	Hans	0		H	adt
     	@Hansu	Hans	0		H	sg g
     	Hans	Hans	0		H	sg p
Issa	####	####				
    	#isa	isa	0		S	sg g
jures	####	####				
     	juures	juur	s		S	sg in
