Protokoll	protokoll	protokoll	0		S	sg n
16mal	####	####				
     	#16ndal	16=s	l		O	sg ad
Januaril	####	####				
        	#jaanuaril	jaanuar	l		S	sg ad
1871	1871	1871	0		N	?
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
astub	astub	astu	b		V	b
Karreda	####	####				
       	#Kareda	Karreda	0		H	sg g
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
wallitsus	####	####				
         	#valitsus	valitsus	0		S	sg n
ja	ja	ja	0		J	
kaebab	kaebab	kaeba	b		V	b
et	et	et	0		J	
need	need	see	d		P	pl n
kaks	kaks	kaks	0		N	sg n
perremeest	perre_mees	perre_mees	t		S	sg p
          	£peremeest	pere_mees	t		S	sg p
Juhhani	####	####				
       	#Juhani	Juhhan	0		H	sg g
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
ja	ja	ja	0		J	
Hindreko	####	####				
        	#Hindreku	Hindrek	0		H	sg g
Mart	@Mart	Mart	0		H	sg n
    	mart	mart	0		S	sg n
om	####	####				
  	#on	ole	0		V	b
kunagi	kunagi	kunagi	0		D	
kaks	kaks	kaks	0		N	sg n
koormad	koorem	koorem	d		S	pl n
       	koorma	koorma	d		V	d
       	£koormat	koorem	d		S	sg p
ölgi	####	####				
    	#õlgi	õlg	i		S	pl p
münud	####	####				
     	#müünud	müü	nud		V	nud
,	,	,			Z	
ilma	ilm	ilm	0		S	adt
    	ilm	ilm	0		S	sg g
    	ilm	ilm	0		S	sg p
    	@ilma	ilma	0		D	
    	ilma	ilma	0		K	
et	et	et	0		J	
naad	####	####				
    	#nad	tema	d		P	pl n
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
wallitsusse	####	####				
           	#valitsuse	valitsus	0		S	sg g
kaast	####	####				
     	#käest	käest	0		K	
seks	@seks	see	ks		P	sg tr
    	seks	seks	0		S	sg n
lubba	####	####				
     	luba	luba	0		S	sg n
