Predstali	####	####				
krestjane	####	####				
derevni	####	####				
Torbju	####	####				
,	,	,			Z	
Andrus	Andrus	Andrus	0		H	sg n
Gerbstreel	####	####				
,	,	,			Z	
Jaak	Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Lilja	####	####				
,	,	,			Z	
Andrus	Andrus	Andrus	0		H	sg n
Truman	####	####				
,	,	,			Z	
Juhan	Juhan	Juhan	0		H	sg n
i	i	i	0		Y	?
Siim	Siim	Siim	0		H	sg n
Nee	####	####				
,	,	,			Z	
Lars	Lars	Lars	0		H	sg n
Norrmann	####	####				
i	i	i	0		Y	?
Andrus	Andrus	Andrus	0		H	sg n
Grenman	####	####				
,	,	,			Z	
i	i	i	0		Y	?
zajavili	####	####				
tšo	####	####				
13	13	13	0		N	?
Aprelja	####	####				
sego	####	####				
1890g	1890g	1890g	0		Y	?
.	.	.			Z	
krestjane	####	####				
derevni	####	####				
Rjalbju	####	####				
ukrali	####	####				
i	i	i	0		Y	?
Torgen-Vik	####	####				
(	(	(			Z	
mesto	####	####				
rõbolovli	####	####				
krestjan	####	####				
derevni	####	####				
Torbju	####	####				
s	s	s	0		Y	?
odnoi	####	####				
storonõ	####	####				
berega	####	####				
,	,	,			Z	
a	a	a	0		Y	?
s	s	s	0		Y	?
drugoi	####	####				
storonõ	####	####				
berega	####	####				
krestjan	####	####				
derevni	####	####				
Rjalbju	####	####				
)	)	)			Z	
ih	ih	ih	0		I	
rõbolovnõe	####	####				
snarjadõ	####	####				
,	,	,			Z	
kotorõje	####	####				
oni	####	####				
ottsenivajut	####	####				
:	:	:			Z	
Anders	####	####				
Gerbstreš	####	####				
,	,	,			Z	
za	####	####				
dve	####	####				
merežki	####	####				
45	45	45	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Jaak	Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Lilja	####	####				
za	####	####				
dve	####	####				
merežki	####	####				
35	35	35	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Andrus	Andrus	Andrus	0		H	sg n
Truman	####	####				
za	####	####				
odnu	####	####				
merežku	####	####				
20	20	20	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Juhan	Juhan	Juhan	0		H	sg n
Nee	####	####				
za	####	####				
odnu	####	####				
merežku	####	####				
20	20	20	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Siim	Siim	Siim	0		H	sg n
Nee	####	####				
za	####	####				
odnu	####	####				
merežku	####	####				
20	20	20	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Andrus	Andrus	Andrus	0		H	sg n
Grenman	####	####				
za	####	####				
odnu	####	####				
merežku	####	####				
15	15	15	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Lars	Lars	Lars	0		H	sg n
Norrman	####	####				
za	####	####				
odnu	####	####				
merežku	####	####				
25	25	25	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
.	.	.			Z	
I	I	I	0		O	?
 	I	I	0		Y	?
eštšjo	####	####				
prisovokupili	####	####				
tšto	####	####				
ih	ih	ih	0		I	
rõbolovnõje	####	####				
snarjadõ	####	####				
bõli	####	####				
ukradenõ	####	####				
v	v	v	0		Y	?
to	####	####				
vremja	####	####				
kogda	####	####				
vse	####	####				
lovjat	####	####				
rõbu	####	####				
,	,	,			Z	
i	i	i	0		Y	?
tšto	####	####				
oni	####	####				
etot	####	####				
god	####	####				
ostalis	####	####				
soveršenno	####	####				
bez	####	####				
rõbõ	####	####				
,	,	,			Z	
a	a	a	0		Y	?
potomu	####	####				
stšitajut	####	####				
dolgom	####	####				
trebovat	####	####				
s	s	s	0		Y	?
obvinjajemõh	####	####				
ubõtok	####	####				
kotorõi	####	####				
oni	####	####				
ottsenivajut	####	####				
(	(	(			Z	
ibo	####	####				
na	na	na	0		D	
stolko	####	####				
rublei	####	####				
oni	####	####				
prežde	####	####				
ježegodno	####	####				
polutšali	####	####				
rõbõ	####	####				
)	)	)			Z	
:	:	:			Z	
Andrus	Andrus	Andrus	0		H	sg n
Gerbstreš	####	####				
50	50	50	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Jaak	Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Lilja	####	####				
50	50	50	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
A.Truman	####	####				
20	20	20	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Juhan	Juhan	Juhan	0		H	sg n
Nee	####	####				
30	30	30	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Siim	Siim	Siim	0		H	sg n
Nee	####	####				
25	25	25	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
;	;	;			Z	
Andrus	Andrus	Andrus	0		H	sg n
Grenman	####	####				
15	15	15	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
i	i	i	0		Y	?
Lars	Lars	Lars	0		H	sg n
Norrman	####	####				
30	30	30	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
.	.	.			Z	
Vernost	####	####				
svojego	####	####				
donesenija	####	####				
oni	####	####				
utverždajut	####	####				
podpisju	####	####				
trjoh	####	####				
krestikov	####	####				
.	.	.			Z	
Andrus	Andrus	Andrus	0		H	sg n
Gerdman	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Jaak	Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Lilja	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Andrus	Andrus	Andrus	0		H	sg n
Truman	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Juhan	Juhan	Juhan	0		H	sg n
Nee	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Siim	Siim	Siim	0		H	sg n
Nee	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Lars	Lars	Lars	0		H	sg n
Norrman	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Andrus	Andrus	Andrus	0		H	sg n
Grenman	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
Po	####	####				
võzovu	####	####				
suda	####	####				
javilis	####	####				
obvinjajemõje	####	####				
krestjane	####	####				
derevni	####	####				
Rjalbju	####	####				
i	i	i	0		Y	?
zajavili	####	####				
tšto	####	####				
oni	####	####				
ne	####	####				
ukrali	####	####				
rõbolovnõje	####	####				
snarjadõ	####	####				
iz	####	####				
Torgen-Vik	####	####				
,	,	,			Z	
a	a	a	0		Y	?
po	####	####				
prikazaniju	####	####				
Urjadnika	####	####				
Remmelmana	####	####				
vmeste	####	####				
s	s	s	0		Y	?
nim	nim	nim	0		Y	?
pojehali	####	####				
na	na	na	0		D	
Torgen-Vik	####	####				
i	i	i	0		Y	?
võnuli	####	####				
ottuda	####	####				
rõbolovnõje	####	####				
snarjadõ	####	####				
prinadležaštšije	####	####				
krestjanam	####	####				
derevni	####	####				
Torbju	####	####				
.	.	.			Z	
I	I	I	0		O	?
 	I	I	0		Y	?
tšto	####	####				
Urjadnik	urjadnik	urjadnik	0		S	sg n
Remmelman	####	####				
skazal	####	####				
im	####	####				
tšto	####	####				
on	ole	ole	0		V	b
  	ole	ole	0		V	vad
imejet	####	####				
silu	silu	silu	0		V	o
,	,	,			Z	
i	i	i	0		Y	?
tšto	####	####				
on	ole	ole	0		V	b
  	ole	ole	0		V	vad
golova	####	####				
ostrovu	####	####				
,	,	,			Z	
i	i	i	0		Y	?
tšto	####	####				
on	ole	ole	0		V	b
  	ole	ole	0		V	vad
skažet	####	####				
to	####	####				
skazano	####	####				
,	,	,			Z	
i	i	i	0		Y	?
tšto	####	####				
sdelajet	####	####				
to	####	####				
sdelano	####	####				
.	.	.			Z	
Po	####	####				
nastojaštšeje	####	####				
vremja	####	####				
u	u	u	0		Y	?
nas	####	####				
9	9	9	0		N	?
štuk	####	####				
merežek	####	####				
kotorõje	####	####				
mõ	####	####				
võnuli	####	####				
iz	####	####				
Torgen-Vik	####	####				
.	.	.			Z	
Staršina	####	####				
J.Meman	####	####				
prikazal	####	####				
naš	####	####				
vozvratit	####	####				
Rõbolovnõje	####	####				
Snarjadõ	####	####				
,	,	,			Z	
no	no	no	0		I	
mõ	####	####				
otvetili	####	####				
jemu	####	####				
:	:	:			Z	
jesli	####	####				
urjadnik	urjadnik	urjadnik	0		S	sg n
kotorõi	####	####				
pozvetil	####	####				
naš	####	####				
võnut	####	####				
ih	ih	ih	0		I	
iz	####	####				
morja	####	####				
pozvolit	####	####				
,	,	,			Z	
to	####	####				
mõ	####	####				
vozvratim	####	####				
ih	ih	ih	0		I	
.	.	.			Z	
Mõ	####	####				
bõ	####	####				
otdali	####	####				
Torbjuskim	####	####				
krestjanam	####	####				
ih	ih	ih	0		I	
merežki	####	####				
,	,	,			Z	
no	no	no	0		I	
pod	####	####				
opasenijem	####	####				
tštob	####	####				
oni	####	####				
opjat	####	####				
ne	####	####				
položili	####	####				
ih	ih	ih	0		I	
b	b	b	0		Y	?
morje	####	####				
mõ	####	####				
zoderžali	####	####				
ih	ih	ih	0		I	
po	####	####				
se	####	####				
  	see	see	0		P	sg n
vremja	####	####				
.	.	.			Z	
Vse	####	####				
oni	####	####				
krestjan	####	####				
derevni	####	####				
Rjalbju	####	####				
govorili	####	####				
eto	####	####				
i	i	i	0		Y	?
sledujuštšije	####	####				
utverdili	####	####				
podpisju	####	####				
trjoh	####	####				
krestikov	####	####				
Tomas	####	####				
     	Toomas	Tomas	0		H	sg n
Hamholm	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Juhan	Juhan	Juhan	0		H	sg n
Alström	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Andrus	Andrus	Andrus	0		H	sg n
Vennberg	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Juhan	Juhan	Juhan	0		H	sg n
Njubljum	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Tomas	####	####				
     	Toomas	Tomas	0		H	sg n
Rennberg	####	####				
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
Smotri	####	####				
protokol	####	####				
N 35	N35	N35	0		Y	?
